,Survey_ID,black,white,native,asian,hawaiian,other_race,unsure_race,latinx,fst4o5,snd4o5,trd4o5,age_18-25,age_26-35,age_36-45,age_46-55,age_56-65,age_66+,age_Under 18,gender_Gender non-conforming or non-binary or other,gender_Man,gender_Prefer not to say,gender_Woman
0,1,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
1,3,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,0,0,1
2,4,0,1,0,0,0,0,0,0,True,True,False,0,0,1,0,0,0,0,0,0,0,1
3,6,1,0,0,0,0,0,0,0,False,False,True,0,1,0,0,0,0,0,0,0,0,1
4,7,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,0,0,1
5,9,1,0,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,0,0,1
6,10,0,1,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,0,0,1
7,11,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,0,0,1
8,12,0,1,0,0,0,0,0,0,True,True,False,0,0,0,1,0,0,0,0,0,0,1
9,15,0,1,0,0,0,0,0,0,True,True,False,0,0,1,0,0,0,0,0,0,0,1
10,17,1,0,0,0,0,0,0,0,False,False,True,1,0,0,0,0,0,0,0,0,0,1
11,20,0,1,0,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,0,0,1
12,29,0,1,1,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,1
13,34,0,1,0,0,0,0,0,0,True,True,False,0,0,1,0,0,0,0,0,0,0,1
14,36,0,1,0,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,0,0,1
15,40,1,0,1,0,0,0,0,0,False,True,False,0,0,0,0,1,0,0,0,1,0,0
16,41,0,1,0,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,1,0,0
17,46,1,0,0,0,0,1,0,0,True,False,True,0,0,1,0,0,0,0,0,1,0,0
18,47,0,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
19,48,0,1,0,0,0,0,1,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
20,53,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
21,56,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,1,0,0
22,57,0,0,0,0,0,0,1,0,False,True,False,0,0,1,0,0,0,0,0,0,1,0
23,59,0,1,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
24,60,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
25,63,0,1,0,0,0,0,0,0,False,True,True,0,0,1,0,0,0,0,0,1,0,0
26,64,1,0,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
27,66,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,1,0,0
28,68,0,1,0,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,0,1,0
29,71,0,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
30,72,1,0,0,0,0,1,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
31,74,0,1,1,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
32,76,1,0,0,0,0,0,0,0,False,True,True,0,0,0,0,1,0,0,0,1,0,0
33,78,1,0,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
34,81,0,1,1,0,0,0,0,0,True,False,True,0,0,0,0,1,0,0,0,0,0,1
35,83,0,0,1,0,0,1,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
36,85,0,1,0,0,0,0,0,0,False,True,False,0,0,0,0,1,0,0,0,0,0,1
37,87,0,1,0,0,0,0,0,0,True,True,False,0,0,0,0,1,0,0,0,1,0,0
38,89,0,1,0,0,0,0,0,0,True,False,True,0,1,0,0,0,0,0,0,1,0,0
39,91,0,1,0,0,0,0,0,0,False,True,True,0,0,1,0,0,0,0,0,1,0,0
40,94,1,0,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
41,95,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
42,96,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
43,99,0,1,0,0,0,0,0,0,True,True,False,0,0,0,1,0,0,0,0,1,0,0
44,102,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,0,0,1
45,103,0,1,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
46,107,0,1,1,0,0,1,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
47,108,0,1,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
48,111,0,1,0,0,0,0,0,0,False,False,True,0,0,0,0,1,0,0,0,1,0,0
49,114,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,0,0,1
50,116,0,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
51,117,0,1,0,0,0,0,0,0,False,True,False,0,0,0,0,1,0,0,0,0,0,1
52,118,0,1,0,0,0,1,0,0,False,True,False,0,1,0,0,0,0,0,0,0,0,1
53,119,0,0,1,0,0,0,0,0,False,True,False,0,1,0,0,0,0,0,0,1,0,0
54,121,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,1,0,0
55,122,0,1,1,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,0,0,1
56,123,1,0,0,0,0,0,0,0,True,False,False,0,1,0,0,0,0,0,0,1,0,0
57,124,0,1,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
58,125,1,0,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
59,127,0,1,1,0,0,1,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
60,128,0,1,0,0,0,0,0,0,True,True,False,0,0,1,0,0,0,0,0,1,0,0
61,129,0,1,1,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
62,131,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
63,137,1,0,0,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,1,0,0
64,139,0,1,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,0,0,1
65,141,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,0,0,1
66,143,0,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
67,144,1,0,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
68,145,0,0,0,0,0,1,0,0,False,False,True,0,0,0,0,1,0,0,0,1,0,0
69,150,0,1,1,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,0,0,1
70,151,0,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
71,152,0,1,0,0,0,0,0,0,False,True,False,0,0,0,0,1,0,0,0,1,0,0
72,155,0,1,1,0,1,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
73,156,0,1,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
74,158,0,1,0,0,0,0,0,0,True,False,False,0,0,0,0,0,1,0,0,0,0,1
75,159,0,1,0,0,0,0,0,0,False,True,True,0,1,0,0,0,0,0,0,1,0,0
76,160,1,0,0,0,0,0,0,0,False,False,True,0,1,0,0,0,0,0,0,1,0,0
77,162,0,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,1
78,163,1,0,0,0,0,0,0,0,True,False,False,0,0,0,0,1,0,0,0,1,0,0
79,166,1,0,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
80,175,0,0,0,0,0,1,0,1,False,True,False,0,1,0,0,0,0,0,0,1,0,0
81,177,0,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,1
82,178,0,1,0,0,0,0,0,0,True,True,False,0,0,0,0,0,1,0,0,0,0,1
83,179,1,1,1,0,0,0,0,0,True,False,False,0,0,0,0,0,1,0,0,1,0,0
84,180,0,1,0,0,0,0,0,1,True,False,False,1,0,0,0,0,0,0,0,0,0,1
85,182,1,0,0,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,1,0,0
86,183,1,0,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
87,184,1,0,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,1
88,185,1,0,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,0,0,1
89,186,0,1,0,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
90,187,0,1,0,0,0,0,0,0,False,False,True,0,0,0,0,1,0,0,0,1,0,0
91,188,0,1,1,0,0,1,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
92,189,1,0,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,0,0,1
93,192,0,1,0,0,0,0,0,0,True,False,False,0,0,0,0,1,0,0,0,1,0,0
94,195,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
95,196,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,1,0,0
96,198,0,1,1,0,0,0,0,0,True,False,True,0,0,0,1,0,0,0,0,1,0,0
97,199,1,0,0,0,0,0,0,0,False,False,True,0,1,0,0,0,0,0,0,1,0,0
98,200,1,0,0,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,1,0,0
99,201,0,1,1,0,0,1,0,0,False,True,True,0,0,0,1,0,0,0,0,1,0,0
100,203,0,1,1,0,0,0,0,0,False,True,True,0,1,0,0,0,0,0,0,1,0,0
101,207,0,1,1,0,0,0,0,0,True,False,True,0,0,0,1,0,0,0,0,1,0,0
102,208,1,0,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
103,212,0,1,0,0,0,0,0,0,True,False,True,0,0,0,1,0,0,0,0,1,0,0
104,213,0,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
105,214,0,1,0,0,0,0,0,0,False,True,False,0,0,0,0,1,0,0,0,0,0,1
106,215,1,0,1,0,0,1,0,0,False,False,True,0,0,0,0,1,0,0,0,0,0,1
107,219,0,1,0,0,0,0,0,0,False,True,True,0,0,0,1,0,0,0,0,0,0,1
108,222,1,1,1,0,0,0,0,0,True,False,True,0,0,1,0,0,0,0,0,0,0,1
109,223,0,1,0,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
110,226,0,1,1,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,0,0,1
111,229,0,1,0,0,0,0,0,1,False,False,True,0,0,0,1,0,0,0,0,0,0,1
112,230,0,1,0,0,0,0,0,0,False,False,True,0,0,0,0,0,1,0,0,0,0,1
113,233,0,1,0,0,0,1,0,0,True,False,True,0,0,0,0,1,0,0,0,1,0,0
114,234,0,0,0,0,0,1,0,0,False,True,False,0,0,0,0,0,1,0,0,1,0,0
115,235,0,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,0,0,1
116,236,0,1,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,0,0,1
117,238,0,0,0,0,0,1,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
118,239,0,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,0,0,1
119,241,0,1,1,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,0,0,1
120,245,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
121,253,1,0,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
122,255,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,0,1,0,0,1,0,0
123,256,0,1,0,0,0,1,0,0,False,True,True,0,0,0,1,0,0,0,0,1,0,0
124,260,1,0,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
125,263,0,1,0,0,0,0,0,0,False,True,True,0,0,1,0,0,0,0,0,1,0,0
126,264,0,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
127,266,1,0,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
128,269,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
129,270,0,1,0,0,0,0,0,0,False,True,False,0,0,0,0,1,0,0,0,1,0,0
130,272,0,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
131,273,0,1,0,0,0,0,0,0,False,True,True,0,0,0,1,0,0,0,0,1,0,0
132,274,0,0,0,0,0,1,0,1,True,True,False,0,0,0,0,1,0,0,0,1,0,0
133,275,1,0,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
134,276,0,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
135,280,0,1,0,0,0,0,0,0,True,False,True,0,1,0,0,0,0,0,0,1,0,0
136,282,0,1,0,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
137,283,0,1,0,0,0,0,0,0,False,False,True,0,0,0,0,1,0,0,0,1,0,0
138,285,0,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
139,287,0,1,0,0,0,0,0,0,False,True,False,0,0,0,1,0,0,0,0,1,0,0
140,289,0,1,0,0,0,0,0,0,True,True,False,0,0,0,0,1,0,0,0,1,0,0
141,292,1,0,0,0,0,0,0,0,False,False,False,0,0,0,0,0,1,0,0,1,0,0
142,294,0,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,1,0,0,0
143,297,0,0,0,0,0,1,0,0,True,True,False,0,0,1,0,0,0,0,0,0,1,0
144,298,0,1,0,0,0,0,0,0,True,False,True,0,0,0,0,1,0,0,0,1,0,0
145,299,0,1,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,1,0,0
146,300,1,0,0,0,0,0,0,0,False,True,True,0,0,0,0,1,0,0,0,1,0,0
147,301,0,1,0,0,0,0,0,0,True,False,False,0,1,0,0,0,0,0,0,1,0,0
148,302,0,1,1,0,0,0,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
149,303,0,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
150,305,0,0,0,0,0,1,0,0,True,True,False,0,0,1,0,0,0,0,0,1,0,0
151,308,0,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
152,309,0,1,1,0,0,1,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
153,310,0,1,0,0,0,0,0,0,False,True,False,0,0,0,0,1,0,0,0,1,0,0
154,313,0,1,0,0,0,0,0,0,True,False,True,0,0,0,0,1,0,0,0,1,0,0
155,314,1,0,0,0,0,0,0,0,False,True,False,0,0,0,0,0,1,0,0,1,0,0
156,315,1,0,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
157,317,1,0,0,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
158,320,1,0,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
159,321,0,0,0,0,0,1,0,1,False,True,False,0,0,0,0,0,1,0,0,1,0,0
160,325,1,0,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
