,Survey_ID,p_change,r_effect,black,white,native,asian,hawaiian,other_race,unsure_race,latinx,age,gender,inBTM,fsttopic,sndtopic,trdtopic
0,1,no,not at all not racist all of the human race is responsible for the coming genocide of the human race,False,True,False,False,False,False,False,False,46-55,Man,True,topic 4,topic 2,topic 6
1,3,i feel that the parole board the some of the people chance after chance and they keep coming back these are the that stay in trouble while they are but the that never get in trouble and follow the and go to school and do to better themselves never get the chance at parole,not sure about that,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 5,topic 6,topic 2
2,4,yes bit,i am not really sure about that one,False,True,False,False,False,False,False,False,36-45,Woman,True,topic 5,topic 4,topic 6
3,6,most are full of,i do not understand this question maybe theres a typo,True,False,False,False,False,False,False,False,26-35,Woman,True,topic 6,topic 3,topic 5
4,7,i never considered the prison population or prison reform before i came here plus i never considered socioeconomic that predisposed people to become,i try to vote based on the but i am and many i vote for are white,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 5,topic 6,topic 3
5,9,to change in my life,they dont tell you nothing they just say anything to leave them alone,True,False,False,False,False,False,False,False,36-45,Woman,True,topic 4,topic 6,topic 3
6,10,the have used to i to vote now i would if i could,dont know,False,True,False,False,False,False,False,False,36-45,Woman,True,topic 3,topic 6,topic 4
7,11,its made me look at the way of life so differently,because racism is still a big problem today in and outside these,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 5,topic 3,topic 6
8,12,no,not going to do this one,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 4,topic 5,topic 6
9,15,the importance of my vote for the and people that are good for our government,the way warden get their some are in i think it needs to be racially all black and mostly black white are minority and are unfairly,False,True,False,False,False,False,False,False,36-45,Woman,True,topic 5,topic 4,topic 2
10,17,i see now that they really do not care,because its like they do not really see color,True,False,False,False,False,False,False,False,18-25,Woman,True,topic 6,topic 3,topic 5
11,20,prison reform would affect the criminal in a huge way as of now this facility does not discourage from,prison is quite as most do not want in their,False,True,False,False,False,False,False,False,46-55,Woman,True,topic 3,topic 4,topic 2
12,29,my perspective is different,i hit the and it wont let me go back,False,True,True,False,False,False,False,False,36-45,Woman,True,topic 6,topic 1,topic 3
13,34,no comment,my race nothing whats going on,False,True,False,False,False,False,False,False,36-45,Woman,True,topic 4,topic 5,topic 3
14,36,now i see the need for it,i have a mixed child so i dont get involved in color,False,True,False,False,False,False,False,False,36-45,Woman,True,topic 3,topic 4,topic 2
15,40,no,not at all as our word is our bond keep word at all time,True,False,True,False,False,False,False,False,56-65,Man,True,topic 3,topic 5,topic 2
16,41,yes i believe that our western democratic political arena is a failure and fraudulent misrepresentation of everything that it itself to be while working towards the fulfillment of its own corrupt and clandestine the welfare of not only the populace but also of the world itself as a whole,i am a male in a 70 predominantly black male state prison institution in which 90 of the correctional employed at this facility are of decent so none of my political hold any substantial value concerning the outcome of my present nor do they hold sway to the of there ever being a rational and potentially positive influence regarding any of the in the upcoming and foreseeable future of these penal,False,True,False,False,False,False,False,False,46-55,Man,True,topic 6,topic 4,topic 2
17,46,voting is one step forward but it more than that participation and being involved is how we make true change,by perception and expectation,True,False,False,False,False,True,False,False,36-45,Man,True,topic 4,topic 2,topic 5
18,47,i have always known that no system is perfect but there are some that are more and more than especially the that are most out of sight out of mind i had no idea how many live have been drastically by this justice system in such a way that it is this is by the fact that these are also severely affected this system needs an overhaul along with many other we need to work together more and compromise for the greater good or cause we need to analyze and interpret more thoroughly be more talk at each other there needs to be more at redemption and change dont go by the talk to people and find and amplify the good,there is closed on both sides of the issue and it regularly our and analyzation of a lot of prejudice as a defense mechanism on the inside more than on the out for survival,False,True,False,False,False,False,False,False,36-45,Man,True,topic 3,topic 6,topic 2
19,48,i have been able to look through a different set,it on what ethnic background you are from whites see differently from or or even what my ethnic group may not be of concern to the what i may not care about they will,False,True,False,False,False,False,True,False,46-55,Man,True,topic 3,topic 1,topic 5
20,53,when i came to prison 22 yes ago i was a and didnt understand politics at all i didnt know what the of government were or what they did what conservative or were,if i understand the question correctly i the way i did because i dont by into the racial agenda that is by the party because i dont think everything needs to or should revolve around race,False,True,False,False,False,False,False,False,46-55,Man,True,topic 4,topic 6,topic 2
21,56,prison is where i found the lord and now all of my world is totally correct,my nothing to do with my racial identity but it everything to do with my identity,False,True,False,False,False,False,False,False,56-65,Man,True,topic 3,topic 2,topic 6
22,57,keep to myself,no,False,False,False,False,False,False,True,False,36-45,Prefer not to say,True,topic 6,topic 5,topic 1
23,59,i have seen how insensitive we can be to each other and other people,right and wrong nothing to do with your skin color,False,True,False,False,False,False,False,False,36-45,Man,True,topic 4,topic 6,topic 3
24,60,i would like to believe that i have become more aware of social and our world in general,as a white male i am uncertain that any answer i may offer could be considered racially no matter how politically correct i attempt to be,False,True,False,False,False,False,False,False,46-55,Man,True,topic 4,topic 6,topic 1
25,63,i have come to be more libertarian in my outlook on politics,i am white and that does not change my about,False,True,False,False,False,False,False,False,36-45,Man,True,topic 3,topic 5,topic 4
26,64,i see how politics people throughout our nation,we identify within our race,True,False,False,False,False,False,False,False,36-45,Man,True,topic 3,topic 2,topic 1
27,66,because now i can see from the other side,the poor will be looking for and after being in prison it is harder to find those to allow you to take yourself some of us will work but because of so e the government make it almost impossible to take care of yourself,False,True,False,False,False,False,False,False,56-65,Man,True,topic 2,topic 1,topic 3
28,68,yes mouthing gig gubernatorial juju,i just dont know the answer,False,True,False,False,False,False,False,False,46-55,Prefer not to say,True,topic 6,topic 4,topic 3
29,71,justice system does not punishment if you dont have a lawyer no justice,reverse,False,True,False,False,False,False,False,False,46-55,Man,True,topic 3,topic 2,topic 2
30,72,i now listen to both sides before forming an opinion,i rarely allow my race to affect my there is a racial component in most all human,True,False,False,False,False,True,False,False,36-45,Man,True,topic 2,topic 5,topic 1
31,74,i grew up thinking everything was always clear cut i thought if it wasnt republican it wasnt right what come to understand is that during times of recession we need a democrat for bottom up economics in order to stabilize the economy once we need republican trickle down economics to grow the economy not an idiot like bush but a trump,i dont reference my race in whether i agree or disagree i try to evaluate the issue and base an opinion based off my and belief system,False,True,True,False,False,False,False,False,36-45,Man,True,topic 3,topic 1,topic 2
32,76,going to put it this way so much is going on these days make you think the world is to end,sometimes you listen sometimes you dont,True,False,False,False,False,False,False,False,56-65,Man,True,topic 2,topic 5,topic 4
33,78,now more progressive,a minority and i see the disparity within the criminal justice system,True,False,False,False,False,False,False,False,36-45,Man,True,topic 1,topic 2,topic 5
34,81,i have a different outlook on now,i guess it would involve the race of the,False,True,True,False,False,False,False,False,56-65,Woman,True,topic 4,topic 2,topic 5
35,83,thats a hard question different political people have and but now and see from a different perspective prison reform is my biggest issue right now,race no sway on me one way or the other,False,False,True,False,False,True,False,False,36-45,Man,True,topic 6,topic 4,topic 1
36,85,i never really attention to what was going on in the prison system until i and seeing first hand the politics that are involved in the get a percentage of everything that in here,because white every time theres a black its always the whites fault no matter if they just a crime and was running from the police with a smoking gun its the white fault how often do you hear about the white being shot never because they know they were in the wrong,False,True,False,False,False,False,False,False,56-65,Woman,True,topic 6,topic 5,topic 1
37,87,i seen how much my voice can be a factor in,do get in the way because of 1 the state you live in 2gangs and the way you where raised,False,True,False,False,False,False,False,False,56-65,Man,True,topic 4,topic 5,topic 1
38,89,i was in the army and that the did the right thing but after being of a felony i see they only want what is best for them,i dont understand the question,False,True,False,False,False,False,False,False,26-35,Man,True,topic 5,topic 6,topic 4
