Primary_Topic_p,Survey_ID,p_change
"Personal life, including religion and race",5584,I see more racial things and african americans get treated lowly than other race
Education and more info,72,I now listen to both sides before forming an opinion.
Not changed,461,Not really
More interested,725,I care
Views on politics,260,I know now people just say what we want to here
Views on politics,5064,Alot
Education and more info,588,I have taught myself to become A book writer.
"Personal life, including religion and race",9,Things needed to change in my life
Experience related to prison or justice system,2884,"I would say that my particular political views have changed drastically due to my current circumstances as a prisoner in Florida. Florida's ""criminal 'justice' system"" is the most corrupt in the country and should be put under a microscope. "
Experience related to prison or justice system,3780,"Being incarcerated has changed my political views in many ways. One way is in how the incarcerated is treated on the inside. The fact that mass incarceration is this countries go to for dealing with simple issues such as MARIJUANA, child support, and traffic violations.
Not to mention since being locked up, I tend to pay more attention to whats happening in society and how to effect change."
Education and more info,7593,"As we become more informed, hopefully we evolve; as does our views."
Views on politics,2773,They only care about the rich not the poor.
Views on politics,5202,Yes because there is alot of things that are un fair
Education and more info,1474,I've grown to understand politics more
I don't know or I don't feel talking about it,7893,
Education and more info,1673,Because you never know what will happen
Education and more info,2021,Now i know more so im more educated
"Personal life, including religion and race",5373,Every body frim any race they just want to team up to survive or they need sone kind of support to make it but i dont
Views on politics,2414,The laws are getting better
More interested,4710,"Becuase as a convicted felon , i feel like i dont have a say in this country becuase my right to vote was taken away."
Education and more info,1132,I study More history
Education and more info,6048,Because i now know more
Experience related to prison or justice system,773,Being incarcerated encourages me to become more political aware
Not changed,2850,[No]
More interested,908,I didn't really care before
Need for change in system,2600,"Yes they have immensely!!  I'm ashamed and embarrassed with our Justice System!!  From the police department to the public defender's office, it's downright pathetic the unprofessional conduct and disregard for the people's constitutional and human rights!!!!   It's become a horrible joke that's no where close to humorous!!!"
Experience related to prison or justice system,4116,Because i am incarcerated for a crime that im actually 100% innocent of i have become interested in finding out who will hold the corrupt goverment officials who wrongfully convicted me responsible and who will oversee these people who think that they are above the constitutional laws that are suppose to protect poor people like me who can prove without a shadow of doubt that i was railroaded by the dirty tricks of the prosecution who knowingly used false evidence to obtain a conviction turning our judicial system into a climate of corruption.
Education and more info,2704,[Yes] I was a Democrat. I recently read the 1994 violent crimes act in which Bill Clinton and Joe Biden sponsored. That has changed my view. That crime bill really hurt the incarcerated.
"Personal life, including religion and race",6230,Yes it has because I now can see how people of color get.treated compare to white folks not just in prison but outside as well
Not changed,7854,[No]
Not changed,735,No
More interested,4883,I used not really care
Need for change in system,5526,"Prison has shown me the extreme need for prison reform, and the only way to accomplish change is to be informed."
Not changed,2814,[No]
Experience related to prison or justice system,6123,Because i have had more time to watch and learn new ways about our country being sober.
Views on political parties,380,Democrat's and Republicans ain't shit period. Tricked by bill bitchass Clinton still asking himself the question why do niggers love me so much after the straightforward genocide.
Experience related to prison or justice system,3851,I have seen first hand the issuses with prison reform and the plight of the mentally ill
I don't know or I don't feel talking about it,4893,I rsther keep to myself
Experience related to prison or justice system,199,My political views changed since being incarcerated because I have grown a lot since I been incarcerated. Being incarcerated taught me how think first
Need for change in system,900,My judicial system is poison
Views on political parties,737,Neither party are unified so how can they bring the u.s. together
Education and more info,2540,Im more educated in the justice system and court procces. If took me to be on the inmate side to understand the reality of how the lack of education causes the unjustice balance to fall upon the facilities population. Most inmates arn't aware of how to conduct themselfs or what their limitations stop in court. All they know and are limmited to is the knowledge and power retained by their most likely court appointed atturney.
Education and more info,5611,I want to know what's going on in politics.
"Personal life, including religion and race",3200,I won't to do better in my life for my kid's and family
Not changed,2738,[No]
Education and more info,1273,I can sit down an watch it more now
Education and more info,6465,It has made me open my eyes to the all around corruption of the political system.
Views on political parties,317,Since I've been incarcerated I see the Republican party doing more to curb the ongoing incarceration trend to help reduce the future trend of needless incarceration for frivolous matters.
I don't know or I don't feel talking about it,8147,I just want to get some points to finish my movie.
"Personal life, including religion and race",3285,I've experinced being treated unfairly because im black
More interested,1019,Iam paying more attention now
Not changed,1834,N/a
Need for change in system,337,Yes because I want laws for the incarcerated to change.
Views on politics,1498,Yes
Views on politics,64,I see how politics has minipulated people throughout our nation
Need for change in system,4011,Because of the injustice in the justice system.
Need for change in system,325,Cause we have no rights I don't agree with that
More interested,5011,"I never cared to vote at all until I realized that while my vote in Presidential races really dpn't matter because of the Electorial College System, but it counts in the State and local races; so I am morely to vote for State and Local officials."
Education and more info,1205,They have I change because I actually have had a chance to sit down and really see what politics about and how it matters so much
More interested,3503,Its more important to me now then what it was
Experience related to prison or justice system,5675,Becuse of the charge I was given.
I don't know or I don't feel talking about it,5537,Ok
Less interested or less belief in system,4918,I dont think my opinion count.
Not changed,1478,N\A
Views on political parties,4205,Republicans dont want prison reform but they make you think that they do
Education and more info,182,Well before prison I never researched political views I just listened to family an took on their political views. However I  research issues myself now an come to my own conclusion's predicted upon what my research yielded.
More interested,7501,[Yes] I feel more strongly about voting - being I never had the chance before! And I know our voice at the polls could make great strides!
Experience related to prison or justice system,1401,I didn't listen to or watch politics before I got incarcerated but after seeing the injustice in the system firsthand it made me want to learn more about the people who make our laws
Views on politics,1859,I would like for someone to stand up for what is right not what they think a person deserves unless the crime I murder or rape or other violent charges
More interested,1015,I know how important it is
Education and more info,4596,It has given me a clear view of what america is
"Personal life, including religion and race",1489,Social
I don't know or I don't feel talking about it,5814,Tfuidvfxf. fhn fd u .b dg g dg. dn fg hhsfs ygjdd d dnjt. f hgf
"Personal life, including religion and race",977,"My political views has changed in that prior to my incarceration I'd never noticed the deviations from the established laws and """"constitutional rights"""" when those laws are applied to Blacks vis-ÌÊ-vis other ethnic groups."
More interested,2308,"As aperson that has been incarsuated. I've come to the realization that, it is verry important for all members of a society of people to let their voice be heard in the political ralms of government."
Education and more info,2747,[Yes] I have the time to listen and conduct a personal analysis of what's real and what's not
Not changed,6661,No
More interested,6073,Im more aware of the politics
Need for change in system,1347,In order for our free world society to change or Uprise for the betterment of our youth that will carryout the Final results of our future
Education and more info,6623,I look at things alot differently
