,Primary_Topic_p,Survey_ID,p_change
796,Views on political parties,2370,My political views have change because we have this thing in our minds that the democrats are for the people.....well when i am being charged with a crime i never comitted it's..(IT'S WE THE PEOPLE VS. ME IN COURT....IT'S WE THE PEOPLE WHY WE ARE GIVEN LIFE SENTENCES...IT'S WE THE PEOPLE WHO DISREGARD GOD'S LAWS AND ALLOW ABORTION....IT'S WE THE PEOPLE WHO KEEP YOU ON PUBLIC ASSISTANCE AND HOMELESS....THOSE ARE YOUR DEMOCRATIC WE THE PEOPLE ....THE HELL WITH NANCY PELOSI....CORTEZ AND ANY OTHER SO CALLED DEMOCRAT.....THEIR THE PEOPLE AND WERE THE CANCER AS THEY SAY ....REPUBLICANS ARE WHAT WE NEED....JOBS ARE AVAILABLE AT A GOOD HOURLY WAGE ....THE HOMELESS ARE BEING HELPED....BORDER WALLS IS UP SO ILLEGALS CAN'T STARVE US PUTTING US BACK WHERE THE DEMOCRATS WANTS US......PRISON REFORM IS MAKING IT EASIER FOR LONG TERM OFFENDERS TO GET A SECOND CHANCE AT FREEDOM...ABORTION HAS BECOME SOMEWHAT ILLEGAL....WITH THAT SAID......... ......       .....GOD BLESS AMERICA
763,I don't know or I don't feel talking about it,3143,"Im not for sure what exactly, "
0,"Personal life, including religion and race",5584,I see more racial things and african americans get treated lowly than other race
318,Views on politics,3202,Too many social programs giving no incentive to work
554,Views on politics,5700,Yes
74,More interested,2308,"As aperson that has been incarsuated. I've come to the realization that, it is verry important for all members of a society of people to let their voice be heard in the political ralms of government."
502,Education and more info,3537,Ive learned a little more
353,More interested,546,I did not care about it when I was out now I can get out but I have no where to go
66,More interested,7501,[Yes] I feel more strongly about voting - being I never had the chance before! And I know our voice at the polls could make great strides!
389,Experience related to prison or justice system,7905,The way we are treated in here we are like cows not human it all about money thay dont wont you to better your self so you keep coming back
553,More interested,274,I have become consciously awaken.
310,More interested,5611,I want to know what's going on in politics.
527,Education and more info,8063,I learned about different political views in prison .
181,Education and more info,7618,Yes. Realize need to know.my rights
710,Not changed,3742,Nope_Ù÷Ä
590,Need for change in system,2329,Yes because you found out how unfair its the justice sistem how unequal its the court sistems when your not white
159,More interested,1641,I follow political issues more since incarcerated however I feel like as a felon will have no say so in matters
607,Not changed,5937,No
161,More interested,4557,Not careing
574,More interested,3094,I really didnt pay attention to politics before i was locked up.but now that i some what have a idea of whats going on in the wirld of politics i would like to have my vote count.
359,More interested,2001,I feel like its important to do my part in what happens to this country.
663,Education and more info,2890,[Yes] being incarcerated i see two point of views insid & outsid the box
784,Experience related to prison or justice system,2103,Yes because its given.me the ability to see how things opperate from the inside.and.how the tax payers are lied to to gain votes that wouldnt be the same if the people werent being manipulated with propaganda that is being fed to them and therefore causing them to make decisions and allow things that otherwise they wouldnt.
13,Education and more info,1474,I've grown to understand politics more
516,More interested,1074,"I was incarcerated in 1996, five months after I turned 21 years old, and I didn't care about voting then.  I was too wrapped up in using substances to dull my emotonal pain from childhood trauma to worry about having political views or being civic-minded.  Now, though, after 23 years in prison, I realize how greatly I'm affected by the laws and the political climate.  I have spent years as a Paralegal (from a Blackstone Legal Assistant certification) researching the law and standing up for civil liberties of incarcerated men like myself.  I have a case in the 8th Circuit Court of Appeals number 19-1995 challenging Arkansas' use of unpaid prisoner labor as unconstitutional because 45 (or 48 depending on the source) other states pay their prisoners for labor.  I also have a lawsuit challenging the prison mail policy as violative of the Arkansas Constitution's equivalent of the 1st Amendment.  Before I came to prison, I wouldn't have even known about these issues or cared about another man's civil liberties, but"
439,Education and more info,6709,"Being incaracerated opens ones eyes to alot of thing never thought about before, like pruson reform."
363,Need for change in system,2482,Because of the way the judical system correctional officers etc treat the inmate who are incarcerated very poorly and un addiquate and shouldnt be aloud
578,Education and more info,175,"Before been incarcerated, I only saw to my own problem's, meaning that I wanted the issues that affected me to be of higher priority. Now I see that as a community we need to work on compromises to achieve our goals while helping those around us. This has change how I fuondamentaly see the issues that our nation faces today. Before I used to supporter a particular political party just because they support one issues that I feel strongly about without caring about the rest of their political views. However, now I tend to look deeper into what each candidate supports and not just vote for one party regardless of there views."
92,Need for change in system,3856,I beleave the justice system needs help it has lots of falts.  Like two people can do the same crime and one will get like 3 years and then the other one will get 25 i bleave that everyone should be treated equaly no matter what.
125,Not changed,7530,[No]
114,Views on politics,3158,This time around it has made me view some indivudials differently
697,More interested,2298,I have been made more aware of how much we struggle socially
430,More interested,5105,"Ive become more conscious of how important the voice of the american people is when it come to human rights,enviormental laws, and education bills."
482,Not changed,7871,[No]
610,Education and more info,8080,My political veiws have changed because Iv had more time to pay attention whats going on around me
785,Views on political parties,321,"Yes, due the fact that the political parties and their corrupt ways of running this country."
247,More interested,4791,Yes my values n my caringness has changed
706,More interested,7934,Yes. I really believe every vote counts and we as a free country should really be voicing our oppinions on a ballot.
189,Experience related to prison or justice system,360,"In prison you get to see society in a different way, and not all is good, so you see everything in a different manner."
712,Views on political parties,5029,I use to think i would be a democrat but i find myself agreeing with republicans instead and it seems like the republican presidents do more to actually help.
132,"Personal life, including religion and race",3193,RACE
350,Education and more info,421,Redder
205,Education and more info,1137,I've watched n learned more on presidency
427,Not changed,2755,[No]
537,Education and more info,4493,Before my incarceration I didnt have any politcal views. But since I have had time to inform myself and educate myself on many things and how they can affect me and my family
433,More interested,7141,I am more involved in whats goin on in the world now
666,Views on politicians,3781,"Most defenetely. Everything in these places is about politics. But as i get older i can't help but think of my childrens future like i do since we've had this current pretender in office. My children are currently scared because their father has been absent from their preciuos life for 16 years, and will God willing be getting out on 8/26/2020, to face deportation to a country by the name of Honduras, can you imagine whats going on through their young minds right now as they watch the news which are being bombarded by news from that side of the world. This current president has caused nothing but uncertainty in the minds of hispanics and in the minds of our children. Never in my life did i think that my children would be watching the news more than i do, and all because right now my future along with thousands of other hispanics futures are in limbo. So yes, my political views have changed tremendously."
40,Views on political parties,737,Neither party are unified so how can they bring the u.s. together
89,More interested,4706,Being incarcerated makes you not only want to change but it kinda of makes you feel like its important for you to be apart of the change and you have nothing but time to educate your-self about stuff that really didnt even matter to you before alot of people who grew up in my neighborhood never expressed or stress to us how important politics are.
382,Views on politics,1996,Yes
421,Not changed,3550,Np it has not Bc the system has change is remains the same
68,Views on politics,1859,I would like for someone to stand up for what is right not what they think a person deserves unless the crime I murder or rape or other violent charges
76,Not changed,6661,No
180,Need for change in system,556,"All people want to do is incarcerate and not rehabilitate. They don't want to release anyone, just have mass incarceration."
121,Less interested or less belief in system,753,I was never interested in government or the laws before I got incarcerated but after being incarcerated for over two decades I see how important it is to vote the right lawmakers into office.
216,Views on politics,6777,Strong conservative religious beliefs are opperessive to many classes of people.
139,Education and more info,4740,Its gives me another view on how this world really means alot not only that when im gone i wannt my kids to be albe to live life without having to worry about certain things or there skin color
525,Views on politics,2101,Have
298,Views on politics,4693,World problems change constantly.
118,Views on political parties,7529,"[Yes] Although I am a Democrat, I notice that republicans are not so bad. That political view came from the conflict the state versus Federal. Something I did not know. I assume it was all one-together but different branches."
447,More interested,377,Before being locked l had no interest in politics
195,Views on political parties,7040,Before being incarcerated I was a right wing conservative now I am a moderate.
736,Views on political parties,7554,[Yes] What I come to understand that it don't matter what party has control because their both to blaim when it comes to the deficit and this is the bigest problem facing this country
771,Experience related to prison or justice system,7030,"My views before this concrete kasket you call a cell, were misguided, adolescent, sophmoric at best, but being locked in this cell for 23-24 hours a day for about 12 years straight has opened my eyes, heart, and mind to many things, thus the formulation of my political beliefs as the are today."
94,I don't know or I don't feel talking about it,651,MSN dk
34,Experience related to prison or justice system,6123,Because i have had more time to watch and learn new ways about our country being sober.
364,Views on political parties,3898,I recognized as a Dem before and then as the years went by I started see things from an inside looking out view and seeing what they really represent and removing my racial identity from the equation and maturing and wanting certain things stopped or started.
558,More interested,4654,Cause it limits the way i can help the comunity or put my point of veiw to the ones who would listen.
760,Views on politicians,4099,"There is no polititian that doesn't have a self agenda, anything to make him or herself an kind of money for self and the super rich."
791,Education and more info,4462,I know whats real
160,Views on political parties,1049,My parents always voted Democratic party which is not Wise now days thay are not what that should be that are not for the people ever anymore
743,Need for change in system,4759,Cuz it's hard to have people find a solution to mass incarsratin that don't get a first hand view of it and how are system is rigged
403,Education and more info,3354,I am more informed on certain issues. I never paid attention before.
14,I don't know or I don't feel talking about it,7893,
265,More interested,2425,Never use to care
119,Education and more info,1765,Not been mad about who I am
82,Not changed,7597,[No]
404,"Personal life, including religion and race",6902,My crime
632,"Personal life, including religion and race",5458,"I am mexican. I believe us mexicans should stop killing each other and unite and take our land back from the united states. If we can , take down this crooked greedy government, and destroy these prisons. Thats just a dream of mine though. Itll never happen. "
618,Views on political parties,2235,Republicans have the most money and stability. I realize i lack these important things supporting democrat
88,More interested,7552,[Yes] I'm learning that I might be able to make a difference for the good
107,Experience related to prison or justice system,946,Since being incarcerated my political views have changed a lot because I now realize that having committed an offense is why I am incarcerated. But not being afforded the opportunity to reform or get out is a  systematic processed implemented by governing officials and private businessman who are profiting from my being incarcerated.
17,"Personal life, including religion and race",5373,Every body frim any race they just want to team up to survive or they need sone kind of support to make it but i dont
535,More interested,2298,I have been made more aware of how much we struggle socially
172,Views on politics,5002,The state goverment only worry about federal finding. For example. In kansas prisons they have built a new lansing prison. It's two man cells in a 6 by ten cell with one storage locker for two guys.
385,Views on political parties,6167,I am a registerd demacrat and i deal with prison politics all day long so i go by what i belive i helped put donald trump in office and id do it again in a heart beat he is what we need leave the man to do his job and stop trying to bring him down over fictional facts
455,More interested,6274,Im more aware
103,Not changed,4533,No
459,More interested,3373,"I had no political views before, I never followed politics."
340,"Personal life, including religion and race",7562,[Yes] I realized that most are in it for the $ not to make America the best place on Earth! That cop who killed that man who she thought was in her house got 10 yrs! Had a black woman/man did that they would never see the light of day ever again!
775,Need for change in system,3020,I see the politics involved and the multimillion dollars being made off people who chose the wrong path or dealt a bad hand
778,More interested,1626,Now that I can't vote I would love to but not for my interest
731,Education and more info,1892,Science
45,Education and more info,1273,I can sit down an watch it more now
372,Not changed,5811,No
498,Experience related to prison or justice system,7707,The state puts me in a privately owned dwelling the prisons are privately ran and owned?? Over misdemeanor crimes on christmas...charges me to be here and im cold and hungry??
659,Need for change in system,3106,The incarceration laws
625,Not changed,4399,No
575,Views on politics,5834,No peace
11,Views on politics,2773,They only care about the rich not the poor.
214,More interested,4552,I say this becase politics is what runs our nation
674,Not changed,7506,[No]
147,Views on politics,6655,I just want to beable to put the right people in office because it seem to me that its always about money or war or sending people back to they own conurty and or baning them from the usa....
592,Experience related to prison or justice system,4567,People on the outside don't see what really goes on in prison. It's way different when youre doing time in prison then when you just see or read about it.
560,Education and more info,3909,Well being in this place you see tinghs more diferent
634,Not changed,7506,[No]
368,Need for change in system,900,My judicial system is poison
173,Less interested or less belief in system,255,"Yes. quite a lot.  However I cannot type the truth,so I'll not type anything.

"
274,More interested,5685,Well before. I wasnt. Into politics. Now im very interested.
226,Education and more info,4261,"I use to be ignorant with my views as i didn't really look at the issues, i looked at the politicians who would talk as to whether they seemed trustworthy, i now pay attention to the issues and not who is speaking, i do what homework i can."
31,More interested,4883,I used not really care
755,Education and more info,3795,Because I feel that I have more empathy for people who are struggling and a greater understanding of what it feels like to have no say in the world around you. Also I have had alot of time to think on my own ideas of solutions to issues like prison reform.
758,Less interested or less belief in system,2832,"Nobody seems to care, even where a person gives up everything to find a way to deal with the crimes that sent him to prison. "
445,More interested,6133,I never really had a political view till i came to prison an now i have started to pay more attion to it
299,Views on politics,5956,Ya
729,Education and more info,2703,[Yes] I been incarcerated 18 yrs and I do my own studies and I'm in college so I have learnt a lot of things which help develop a more in depth look at life
116,Not changed,2767,Na
286,Views on politicians,4524,I sue to think certian president was dumb n racist but i can under stand there point of view
95,More interested,929,I used to didn't care now I see how it effect everyone
323,Views on politicians,8149,Donald trumo.masd are contry great agaian
428,Education and more info,768,Ii was a juvenile when incarcerated. Naturally things have changed
311,Experience related to prison or justice system,2198,As i was a minor when i got locked up i us to think government and the legal system was here to help and serve justice but there not its to help keep the white rich safe and get rid of the non white poor by mass incarceration
346,I don't know or I don't feel talking about it,5673,I cant at this time
371,Need for change in system,7827,Not everything is fair
777,Education and more info,2914,[Yes] See things in a new light that I never saw from where I was in society.
62,Less interested or less belief in system,4918,I dont think my opinion count.
479,More interested,4654,Cause it limits the way i can help the comunity or put my point of veiw to the ones who would listen.
550,Views on politicians,4605,"Yes,because I grew up in a time where the things that are going on in this generation were non-existant back in the eighties,although one thing that's always been true is the level of Racism here in the United States and in other places. And it seems like our presidents are doing nothing about it,but then again we have a little thing called freedom of expression. And it just seems to me that the fat cats in office are just worried about who's got the deepest pockets,and there for Money talks and Bullshit walks."
184,More interested,878,"When I was out before I became incarcerated I didn't pay much attention, I was always on drugs or working "
91,Not changed,2825,[No]
752,Views on politicians,3917,"It made me to see the vivid picture of how the laws are enforced. mostly, because only littleman get the measure of punishment, and also that the people making the laws are totally disconnected with reality of the impact of these laws. Most elected officials oblivious of what actually is happening, and they only want to please their party base.
"
412,More interested,2308,"As aperson that has been incarsuated. I've come to the realization that, it is verry important for all members of a society of people to let their voice be heard in the political ralms of government."
649,Views on politicians,7197,Yes it makes me think that people in politics actually see us as humans
29,Not changed,7854,[No]
54,Views on politics,64,I see how politics has minipulated people throughout our nation
305,Need for change in system,5946,They need fix sentencing laws in kansas
334,Not changed,4065,No
787,"Personal life, including religion and race",3668,"When I came to prison I was 17 years old. All of my political views revolved around my self interests. Now my politics are influenced by values that I have conciously decided to live my life by. First and foremost, Jesus Christ."
146,Experience related to prison or justice system,583,"Now that I can view politics from being a convicted felon, I can now see the lack of understanding or care for incarcerated individuals."
481,Need for change in system,7949,"Yes. I realized that since being incarcerated, my political view has changed because i am a felon and although ive made a huge mistake it doesnt mean im a horrible person. I am stuck in prison for twenty five years and charged as a juvinile for murder.we now have a mass incarceration since ive been locked up and i am part of the problem.ive learned my lesson but am stagnet in here now just awaiting my lengthy release date. I am stuck doing a long term minumum and the only ones who can change this issue is the government and more than likeky republicans always win.they are against prisoners like myself."
689,"Personal life, including religion and race",4495,"I now know that those in power only seek to divide us. Yet they claim to desire to unite us. What ever happened to """"one nation,under GOD""""?"
614,I don't know or I don't feel talking about it,629,Nehru's
394,Education and more info,7691,Yes i look into things more
399,Views on politicians,5136,"News media and politicians spend to much time on crime and the negative side of it for ratings, elections, and political influence.

They should be looking at root causes and how to help, and i mean real help not the kind that just looks good on paper. People should be being prepared to go back out into communities from the first day they walk through prison doors.

Locking people up and throwing away the key no matter what they have done is not the answer and we have created big bussiness from this. Instead of being people we have become less than human and money on the foot.

There are other issues with this that i would be more than happy to talk to someone with."
165,Experience related to prison or justice system,7799,Ive seen alot of heabus corpus
434,Education and more info,3955,Yes.  Prior to my incarceration I had no idea of the impact politics plays on the whole crime and punishment issue.  Now I understand that locking up people is one of the greatest tools a politician has to keeping himself employed at an inordinately high pay scale for mostly useless work.  Politicians spend an awful lot of money feeding other countries' incomes and helping wealthy Americans stay wealthy while bleeding the lower and middle class families' incomes dry.  They are exceptionally good at creating ways to keep incarcerated people incarcerated and growing the number of people incarcerated in order to fuel the American prison industry.  What they are clearly not willing to do is find ways to get people out of prisons and back into society as productive citizens. Kansas is a good example.  A person convicted of a murder has to perform nearly impossible feats to have any hope at all of getting out of prison alive.  Yet Lifers on average have an unbelievably lower recidivism rate than any other group. Kansas is a good example.  A person convicted of a murder has to perform nearly impossible feats to have any hope at all of getting out of prison alive.  Yet Lifers on average have an unbelievably lower recidivism rate than any other group
80,Views on political parties,2778,[Yes] I was a liberal Democrat I am not a liberal Republican
452,Education and more info,312,Am much more informed now on foreign policy
259,Not changed,2351,No
9,Experience related to prison or justice system,3780,"Being incarcerated has changed my political views in many ways. One way is in how the incarcerated is treated on the inside. The fact that mass incarceration is this countries go to for dealing with simple issues such as MARIJUANA, child support, and traffic violations.
Not to mention since being locked up, I tend to pay more attention to whats happening in society and how to effect change."
543,I don't know or I don't feel talking about it,5239,In a way
751,Experience related to prison or justice system,2042,Seeing everything thats happening
629,I don't know or I don't feel talking about it,1827,Tuff
179,Views on politicians,5122,I have become.more aware of political divirsities
27,Education and more info,2704,[Yes] I was a Democrat. I recently read the 1994 violent crimes act in which Bill Clinton and Joe Biden sponsored. That has changed my view. That crime bill really hurt the incarcerated.
457,More interested,745,Before I didn't care about prisoners reform
293,More interested,4008,"I see voting as a right and should not be a previlage, I see people for who they are amd in order to have a voice, you have to vote a closed mouth cant get feed. I need to share my portion I need to be heard."
487,More interested,6896,It's made me awhere of my way of thinking
5,Views on politics,5064,Alot
197,Views on politicians,6643,"They have just changed over time due to the change of presidents. I'm not really into politics but there are things that I do & do not like about the U.S. government. I will say anything that I do not know the exually facts to, so I will stop here."
656,Need for change in system,2567,Due to over crowding it totaly changes the dinamics of housing abilities
638,More interested,8086,"Well.before i had no interest. Yet having to grow up.and. learn values and self respect it drives you to want to be part, to make a change"
504,Views on political parties,7938,I used to be very republican inclined yet I now gravitate to democracy
261,Not changed,8177,No.......
734,Not changed,5243,No
493,Education and more info,7314,"Now being older, I can see crouckedness, more in peolpe than before."
501,More interested,1276,My attitude has changed a lot the way I carry myself as a human being I care a lot more and I don't tolerate a lot of ignorance...
38,Experience related to prison or justice system,199,My political views changed since being incarcerated because I have grown a lot since I been incarcerated. Being incarcerated taught me how think first
686,Education and more info,175,"Before been incarcerated, I only saw to my own problem's, meaning that I wanted the issues that affected me to be of higher priority. Now I see that as a community we need to work on compromises to achieve our goals while helping those around us. This has change how I fuondamentaly see the issues that our nation faces today. Before I used to supporter a particular political party just because they support one issues that I feel strongly about without caring about the rest of their political views. However, now I tend to look deeper into what each candidate supports and not just vote for one party regardless of there views."
373,Views on political parties,1542,I have been convinced that Republican ways are better
331,Not changed,8177,No.......
162,Education and more info,506,Maybe it is age but I see through a lot of the propaganda we are exposed to.
67,Experience related to prison or justice system,1401,I didn't listen to or watch politics before I got incarcerated but after seeing the injustice in the system firsthand it made me want to learn more about the people who make our laws
124,Less interested or less belief in system,377,Before being locked l had no interest in politics
39,Need for change in system,900,My judicial system is poison
4,Views on politics,260,I know now people just say what we want to here
33,Not changed,2814,[No]
612,More interested,5424,Iam more aware of politics now.
631,More interested,3538,I care more where as before i really didnt care at all
335,"Personal life, including religion and race",2500,It wasnt until prison that i unfornately became racist against the black community which ironically was a.race that i predominately hung out with during my chidlhood. Ive become more of a left wing republican who agrees more with trump than obama. Each country is their own country and each have their own laws and beliefs. We americans dont migrate to other countries and make demands to change their laws and demand rights for our beliefs. If not a.natural born citizen/legitimate proud american that want to live here then accept who we.are or stay where your at. Simple as that
