Views on political parties,My political views have change because we have this thing in our minds that the democrats are for the people.....well when i am being charged with a crime i never comitted it's..(IT'S WE THE PEOPLE VS. ME IN COURT....IT'S WE THE PEOPLE WHY WE ARE GIVEN LIFE SENTENCES...IT'S WE THE PEOPLE WHO DISREGARD GOD'S LAWS AND ALLOW ABORTION....IT'S WE THE PEOPLE WHO KEEP YOU ON PUBLIC ASSISTANCE AND HOMELESS....THOSE ARE YOUR DEMOCRATIC WE THE PEOPLE ....THE HELL WITH NANCY PELOSI....CORTEZ AND ANY OTHER SO CALLED DEMOCRAT.....THEIR THE PEOPLE AND WERE THE CANCER AS THEY SAY ....REPUBLICANS ARE WHAT WE NEED....JOBS ARE AVAILABLE AT A GOOD HOURLY WAGE ....THE HOMELESS ARE BEING HELPED....BORDER WALLS IS UP SO ILLEGALS CAN'T STARVE US PUTTING US BACK WHERE THE DEMOCRATS WANTS US......PRISON REFORM IS MAKING IT EASIER FOR LONG TERM OFFENDERS TO GET A SECOND CHANCE AT FREEDOM...ABORTION HAS BECOME SOMEWHAT ILLEGAL....WITH THAT SAID......... ......       .....GOD BLESS AMERICA
I don't know or I don't feel talking about it,"Im not for sure what exactly, "
"Personal life, including religion and race",I see more racial things and african americans get treated lowly than other race
Views on politics,Too many social programs giving no incentive to work
Views on politics,Yes
More interested,"As aperson that has been incarsuated. I've come to the realization that, it is verry important for all members of a society of people to let their voice be heard in the political ralms of government."
Education and more info,Ive learned a little more
More interested,I did not care about it when I was out now I can get out but I have no where to go
More interested,[Yes] I feel more strongly about voting - being I never had the chance before! And I know our voice at the polls could make great strides!
Experience related to prison or justice system,The way we are treated in here we are like cows not human it all about money thay dont wont you to better your self so you keep coming back
More interested,I have become consciously awaken.
More interested,I want to know what's going on in politics.
Education and more info,I learned about different political views in prison .
Education and more info,Yes. Realize need to know.my rights
Not changed,Nope_Ù÷Ä
Need for change in system,Yes because you found out how unfair its the justice sistem how unequal its the court sistems when your not white
More interested,I follow political issues more since incarcerated however I feel like as a felon will have no say so in matters
Not changed,No
More interested,Not careing
More interested,I really didnt pay attention to politics before i was locked up.but now that i some what have a idea of whats going on in the wirld of politics i would like to have my vote count.
More interested,I feel like its important to do my part in what happens to this country.
Education and more info,[Yes] being incarcerated i see two point of views insid & outsid the box
Experience related to prison or justice system,Yes because its given.me the ability to see how things opperate from the inside.and.how the tax payers are lied to to gain votes that wouldnt be the same if the people werent being manipulated with propaganda that is being fed to them and therefore causing them to make decisions and allow things that otherwise they wouldnt.
Education and more info,I've grown to understand politics more
More interested,"I was incarcerated in 1996, five months after I turned 21 years old, and I didn't care about voting then.  I was too wrapped up in using substances to dull my emotonal pain from childhood trauma to worry about having political views or being civic-minded.  Now, though, after 23 years in prison, I realize how greatly I'm affected by the laws and the political climate.  I have spent years as a Paralegal (from a Blackstone Legal Assistant certification) researching the law and standing up for civil liberties of incarcerated men like myself.  I have a case in the 8th Circuit Court of Appeals number 19-1995 challenging Arkansas' use of unpaid prisoner labor as unconstitutional because 45 (or 48 depending on the source) other states pay their prisoners for labor.  I also have a lawsuit challenging the prison mail policy as violative of the Arkansas Constitution's equivalent of the 1st Amendment.  Before I came to prison, I wouldn't have even known about these issues or cared about another man's civil liberties, but"
Education and more info,"Being incaracerated opens ones eyes to alot of thing never thought about before, like pruson reform."
Need for change in system,Because of the way the judical system correctional officers etc treat the inmate who are incarcerated very poorly and un addiquate and shouldnt be aloud
Education and more info,"Before been incarcerated, I only saw to my own problem's, meaning that I wanted the issues that affected me to be of higher priority. Now I see that as a community we need to work on compromises to achieve our goals while helping those around us. This has change how I fuondamentaly see the issues that our nation faces today. Before I used to supporter a particular political party just because they support one issues that I feel strongly about without caring about the rest of their political views. However, now I tend to look deeper into what each candidate supports and not just vote for one party regardless of there views."
Need for change in system,I beleave the justice system needs help it has lots of falts.  Like two people can do the same crime and one will get like 3 years and then the other one will get 25 i bleave that everyone should be treated equaly no matter what.
Not changed,[No]
Views on politics,This time around it has made me view some indivudials differently
More interested,I have been made more aware of how much we struggle socially
More interested,"Ive become more conscious of how important the voice of the american people is when it come to human rights,enviormental laws, and education bills."
Not changed,[No]
Education and more info,My political veiws have changed because Iv had more time to pay attention whats going on around me
Views on political parties,"Yes, due the fact that the political parties and their corrupt ways of running this country."
More interested,Yes my values n my caringness has changed
More interested,Yes. I really believe every vote counts and we as a free country should really be voicing our oppinions on a ballot.
Experience related to prison or justice system,"In prison you get to see society in a different way, and not all is good, so you see everything in a different manner."
Views on political parties,I use to think i would be a democrat but i find myself agreeing with republicans instead and it seems like the republican presidents do more to actually help.
"Personal life, including religion and race",RACE
Education and more info,Redder
Education and more info,I've watched n learned more on presidency
Not changed,[No]
Education and more info,Before my incarceration I didnt have any politcal views. But since I have had time to inform myself and educate myself on many things and how they can affect me and my family
More interested,I am more involved in whats goin on in the world now
Views on politicians,"Most defenetely. Everything in these places is about politics. But as i get older i can't help but think of my childrens future like i do since we've had this current pretender in office. My children are currently scared because their father has been absent from their preciuos life for 16 years, and will God willing be getting out on 8/26/2020, to face deportation to a country by the name of Honduras, can you imagine whats going on through their young minds right now as they watch the news which are being bombarded by news from that side of the world. This current president has caused nothing but uncertainty in the minds of hispanics and in the minds of our children. Never in my life did i think that my children would be watching the news more than i do, and all because right now my future along with thousands of other hispanics futures are in limbo. So yes, my political views have changed tremendously."
Views on political parties,Neither party are unified so how can they bring the u.s. together
More interested,Being incarcerated makes you not only want to change but it kinda of makes you feel like its important for you to be apart of the change and you have nothing but time to educate your-self about stuff that really didnt even matter to you before alot of people who grew up in my neighborhood never expressed or stress to us how important politics are.
Views on politics,Yes
Not changed,Np it has not Bc the system has change is remains the same
Views on politics,I would like for someone to stand up for what is right not what they think a person deserves unless the crime I murder or rape or other violent charges
Not changed,No
Need for change in system,"All people want to do is incarcerate and not rehabilitate. They don't want to release anyone, just have mass incarceration."
Less interested or less belief in system,I was never interested in government or the laws before I got incarcerated but after being incarcerated for over two decades I see how important it is to vote the right lawmakers into office.
