Survey_ID,Primary_Topic_p,Secondary_Topic_p,p_change,Primary_Topic_r,Secondary_Topic_r,r_effect,,,,,,,,,,,
5584,Race/Ethnicity,,I see more racial things and african americans get treated lowly than other race,Yes,,Yes,,,,,,,,,,,
72,Expanded view,,I now listen to both sides before forming an opinion.,Race does not affect opinion ,,I rarely allow my race to affect my decisions. There is a racial component in most all human choices.,,,,,,,,,,,
461,None,,Not really,Not my perspective,never look at it from that point of view,Never looked at it from that point of view.,,,,,,,,,,,
725,Cares more,,I care,Na,Na,,,,,,,,,,,,
260,Change in opinion,,I know now people just say what we want to here,Injustice towards Black people ,,We know that black are not love or needed in this world,,,,,,,,,,,
5064,View on politics,,Alot,Injustice towards Black people ,,It seems like they want to lock black people up at a young age and give white people a chance at making it,,,,,,,,,,,
588,Education,,I have taught myself to become A book writer.,Not sure,,I don't have A clue,,,,,,,,,,,
9,Change in Life,,Things needed to change in my life,,,They dont tell you nothing they just say anything to leave them alone,,,,,,,,,,,
2884,Experience in prison,,"I would say that my particular political views have changed drastically due to my current circumstances as a prisoner in Florida. Florida's ""criminal 'justice' system"" is the most corrupt in the country and should be put under a microscope. ",Only one race,,"Although people of color, such as myself, are still heavily discriminated against in America today, I believe in one(1) race. The human race.",,,,,,,,,,,
3780,Experience in prison,,"Being incarcerated has changed my political views in many ways. One way is in how the incarcerated is treated on the inside. The fact that mass incarceration is this countries go to for dealing with simple issues such as MARIJUANA, child support, and traffic violations.
Not to mention since being locked up, I tend to pay more attention to whats happening in society and how to effect change.",Racial history of the US,,"My ethnicity influences my political views a great deal because this country was founded upon racial discrimination. Majority of this countries population is colored, and yet are seen as the minority. And when it comes to the decisions that are being made on behalf of the American People, it is the minority communities that are adversely effected due to these minority communities having little to no, effective, representation in the political arena. And being of Afrikan Ancestry, cultured in a country that has deliberately done all it can to strip us of our heritage, my concern, political views and opinions are not just for the minoriy populations, bit more so for the Black Population!",,,,,,,,,,,
7593,Education,,"As we become more informed, hopefully we evolve; as does our views.",,,"Knowledge and understanding is a ""mother."" Objectivity and balance is key. I stand outside of the ""box."" I am Black",,,,,,,,,,,
2773,Views on politics,,They only care about the rich not the poor.,An issue besides race,,It does not affect. It's the poor people get the bad end of the stick.,,,,,,,,,,,
5202,Views on politics,,Yes because there is alot of things that are un fair,Na,,,,,,,,,,,,,
1474,Better understanding,,I've grown to understand politics more,Politican's racial preference,,"Some elected officials, seem to only take care of their race",,,,,,,,,,,
7893,N/A,,,Political view besides race,,"I'm Afro-American, but I tend to lean/side with the Republican Party. For there views on work, taxes and immigration",,,,,,,,,,,
1673,Expanded view,,Because you never know what will happen,Not sure,,I don't know,,,,,,,,,,,
2021,Education,,Now i know more so im more educated,Not sure,,Im not sure ... race is everything in there supposedly,,,,,,,,,,,
5373,Race/Ethnicity,,Every body frim any race they just want to team up to survive or they need sone kind of support to make it but i dont,Injustice towards Black people ,,People are against blacks or they teaming up.on mexicans,,,,,,,,,,,
2414,Views on Justice System,,The laws are getting better,Injustice towards Black people ,,Blacks seems to get the short end of the stick,,,,,,,,,,,
4710,More aware,,"Becuase as a convicted felon , i feel like i dont have a say in this country becuase my right to vote was taken away.",Personal race,,The fact that im african-american,,,,,,,,,,,
1132,Education,,I study More history,Na,,,,,,,,,,,,,
6048,Education,,Because i now know more,,,They care less about what we think they look at us diffrent,,,,,,,,,,,
773,Experince in prison,,Being incarcerated encourages me to become more political aware,Not sure,,I don't know because I'm not into politics,,,,,,,,,,,
2850,None,,[No],Not sure,,[Not sure],,,,,,,,,,,
908,Cares more,,I didn't really care before,Not sure ,,,,,,,,,,,,,
2600,Need for change in system,,"Yes they have immensely!!  I'm ashamed and embarrassed with our Justice System!!  From the police department to the public defender's office, it's downright pathetic the unprofessional conduct and disregard for the people's constitutional and human rights!!!!   It's become a horrible joke that's no where close to humorous!!!",Not sure,,"I answered, """"not sure"""" because i don't know what """"informing someone's racial identity's view"""" means.",,,,,,,,,,,
4116,Experience in prison,,Because i am incarcerated for a crime that im actually 100% innocent of i have become interested in finding out who will hold the corrupt goverment officials who wrongfully convicted me responsible and who will oversee these people who think that they are above the constitutional laws that are suppose to protect poor people like me who can prove without a shadow of doubt that i was railroaded by the dirty tricks of the prosecution who knowingly used false evidence to obtain a conviction turning our judicial system into a climate of corruption.,Does not see color ,,I see no color lines when it comes to doing right and wrong.Either you stand for justice and do right by your fellow man or you are doing the work of the devil.,,,,,,,,,,,
2704,Education,,[Yes] I was a Democrat. I recently read the 1994 violent crimes act in which Bill Clinton and Joe Biden sponsored. That has changed my view. That crime bill really hurt the incarcerated.,Race should not matter,,[Somewhat] I wouldn't want political officials who was bias toward a specific race.,,,,,,,,,,,
6230,Race/Ethnicity,,Yes it has because I now can see how people of color get.treated compare to white folks not just in prison but outside as well,Race and experience in system ,,"The way I see it is that your race, religion and your sexual preference is how you are been judged. The same crime commited by a person of color commits a white person gets a lenient sentence.",,,,,,,,,,,
7854,None,,[No],Na,,[Somewhat],,,,,,,,,,,
735,None,,No,Personal race,,Because someone who is not of my race doesn't really understand the day to day struggle of being black,,,,,,,,,,,
4883,Cares more,,I used not really care,Depends on how you were raised,,It depends on how you were raised,,,,,,,,,,,
5526,Need for change in system,Education ,"Prison has shown me the extreme need for prison reform, and the only way to accomplish change is to be informed.",Racial differences in prison ,,Although socially constricting race has zero influence or pressure in prison to define ones political view.,,,,,,,,,,,
2814,None,,[No],System oppresses certain race,,[A great deal] How the law has been used to oppress my race is still very relevant today.,,,,,,,,,,,
6123,Experience in prison,Education ,Because i have had more time to watch and learn new ways about our country being sober.,Depends on who you ask,,It depends on who you are speaking to inside the prison.,,,,,,,,,,,
380,Views on political parties,,Democrat's and Republicans ain't shit period. Tricked by bill bitchass Clinton still asking himself the question why do niggers love me so much after the straightforward genocide.,Personal experience because of race,System oppresses certain race,I am a black man being caught up in the industrial prison complex.  I am probably in your daddies portfolio this hook up makes for a profitable investment.  Modernized slavery especially people of color source. Let's have a good ole round up and name it Operation Tough On Crime.,,,,,,,,,,,
3851,Experience in prison,Need for change in system ,I have seen first hand the issuses with prison reform and the plight of the mentally ill,An issue besides race,,I see problems that affect all cultures in society its selfish to be one sided on my opinions,,,,,,,,,,,
4893,N/A,,I rsther keep to myself,system oppresses certain race,personal experience based on race,Theres your one c.o's that bring emotions too work and make a hostile enviorment for your but as a black mam i get hastile more tham a prime majoriry white man would.,,,,,,,,,,,
199,Experience in prison,,My political views changed since being incarcerated because I have grown a lot since I been incarcerated. Being incarcerated taught me how think first,,,"Well, I said somewhat because I just feel like that a little. I see a lot of that from others besides me",,,,,,,,,,,
900,Need for change in system,,My judicial system is poison,Injustice towards Black people ,,Black people get bigger and harder sentencing.,,,,,,,,,,,
737,Views on political parties,,Neither party are unified so how can they bring the u.s. together,Tension between races,,One race never want to listen to the other race piont of view like theirs dont  matter.,,,,,,,,,,,
2540,Education,Experience in prison ,Im more educated in the justice system and court procces. If took me to be on the inmate side to understand the reality of how the lack of education causes the unjustice balance to fall upon the facilities population. Most inmates arn't aware of how to conduct themselfs or what their limitations stop in court. All they know and are limmited to is the knowledge and power retained by their most likely court appointed atturney.,Not my perspective ,,Race has nothing to do with my political views. I believe the only seperation in the inmates among me are the knowledge retained by each. Thats the only thing that seperates us as a union also. Knowledge is power. It is the dividing line between understanding and acceptance that can determine the peace and tranquility in our republic.,,,,,,,,,,,
5611,Education,,I want to know what's going on in politics.,Politician's racial preferences,,Trump is racsist,,,,,,,,,,,
3200,Change in life,,I won't to do better in my life for my kid's and family,Not sure,,Idk,,,,,,,,,,,
2738,None,,[No],,,[A great deal] If they will vote and keep taking a stand,,,,,,,,,,,
1273,Time,,I can sit down an watch it more now,,,People need to get alone better,,,,,,,,,,,
6465,Expanded view,,It has made me open my eyes to the all around corruption of the political system.,impacts political preferences,,Leads me to vote in a certain direction,,,,,,,,,,,
317,Views on political parties,,Since I've been incarcerated I see the Republican party doing more to curb the ongoing incarceration trend to help reduce the future trend of needless incarceration for frivolous matters.,Personal experience because of race,,The rate of incarcerated individuals who represent  my race show the justice indifference in America.,,,,,,,,,,,
8147,N/A,,I just want to get some points to finish my movie.,Would have different experience if white,,If i was white loke my celly i wouldve been out alpng time ago,,,,,,,,,,,
3285,Race/Ethnicity,,I've experinced being treated unfairly because im black,Personal experience because of race,Injustice towards Black people ,"Because im black ,its harder, and were viewed as bad people reguardless, drugs was put in our communities intentionally to destroy the black community, we dont have access to the same educatipn or resources as whites, and were punished worse, we dont get any other options other then prision, which almost never solve the problems, but make a man worse, because of the hardships of gaining employment, or housing due to having a felony",,,,,,,,,,,
1019,Pays more attention,,Iam paying more attention now,Treatment because of race,,Some people think their  better than others,,,,,,,,,,,
1834,None,,N/a,Na,,No response,,,,,,,,,,,
337,Need for change in system,,Yes because I want laws for the incarcerated to change.,Personal experience because of race,Injustice towards Black people,As a black man who is incarcerated I've got to try  harder then the average American to accomplish my goals and dreams because of mistakes I've made in life I'm forced to not have a say in who obtains power over my country. The people who makes the laws and rules that affect my life I have no say in.,,,,,,,,,,,
1498,View on politics,,Yes,Na,,Well,,,,,,,,,,,
64,Effect of politics on nation,,I see how politics has minipulated people throughout our nation,Na,,,,,,,,,,,,,
4011,Need for change in system,,Because of the injustice in the justice system.,System oppresses certain race,,Because of how much laws are made to to affect a cerntian demographic of persons.,,,,,,,,,,,
325,Lack of rights,,Cause we have no rights I don't agree with that,Personal experience because of race,Injustice towards Black pepole ,Cause as a black man I'm racially profiled from every angel,,,,,,,,,,,
5011,Cares more,,"I never cared to vote at all until I realized that while my vote in Presidential races really dpn't matter because of the Electorial College System, but it counts in the State and local races; so I am morely to vote for State and Local officials.",Not my perspective ,,"Even though Blacks are incarcerated at an alarming rate, my race don't figure into my politial veiws because the politians don't care about anything other than their CARRERS. We are political prisoners because we are used to promote their politial agendas. ",,,,,,,,,,,
