Survey_ID,p_change
526,I use to not care about politics or voting before my incarnation. But now I do believe that I can make a difference in my community by expressing my feelings and my concern.
7964,Everyone has diffrent oppinions
3848,"I just look at things different'being incarcerated with pedofiles'rapist drug addicts of all walks of life,gives you a better veiw of the outcomes of some laws or bills passed that were supposed to help.just participating in some of the stupid programs that were suppose to change things and to listen to politicians claim they did this or that to help solve the problems when in all truth they have just implimented ignorant programs that are nothing but talking points."
1604,Makes me not care
581,"Before I was incarcerated I didn't care about politics, voting, or criminal justice. Now I have a personal interests because I see now how it affects me and my community. I never watched the news or read the newspaper or cared what was going on in the world until I got locked up. Now I have become an activist for reform for first time violent offenders. My views on prison and our justice system has drastically been changed. I am motivated to be a part of the solution not part of the problem.  To help people become aware of prison issues and changes that can help both inmates and society."
3326,I look at things different
5127,No
725,I care
6999,Understand it and pay more attention to it now
3086,I though prison was for bad people now i know its just a revanue resource for the state with 80 percent being held hostage past there fixed time
7180,Im more democrat
1120,Yes
489,I've learned more about it then I've known before.... I wasn't really into it then like I am now...
5405,Never thought political
4888,Yes they change cus i use to not talk about it and know every now and then i do
3356,It opens up my eyes more being in here
5713,I just dont care anymore
7175,"Obviously for me, criminal justice reform or actually the lack of sways my vote if i could vote.  But just age and knowledge have made me alot more concervative."
1749,The President is for people on parole by obtaining jobs no matter our back ground.
1175,Yes.
1964,[No]
4018,"I never really considered the prisoner's point of view, I hadn't realized the effect that political outcomes had until I became one. "
200,Because when news comes on their either talking about a mass shooting with assault weapons or some police just shot another African American who was unarmed!
4332,Trump is the best prsident this country has had since Reagan.
7254,Yes i belive we the inmates should the right to vote
2919,[Yes] People make mistakes/they pay their dues deserve a 2nd chance Prisoners are still citizens but get denied everything - even have trouble once released due to felony record.
2979,[No]
4145,No
3018,No
2574,After doing time you see first hand the fairness/unfairness of laws and policies. It make you want to do your part to make changes.
4043,Not really i think my views about politics have stayed the same in some areas and changed in others
1207,They looknat us as animal's
3641,I have had time to think an learn stuff
5130,I tend to pay more attention to details dealing with the justice system.
7358,Im nolonger under standing
1625,Because the way the government is against felons.
6645,Well before i was sent to prison i didnt really care about any of this political stuff but now i study it amd have been studying for 2 and a half years
1141,Yes because I look at the laws and criminal justice system different because there is no justice
8186,Because i belive that i should not.be locked up.for.some.petty.ass bs
84,"Just because someone is put in power,they think they have the right to do what they want no matter the cost to others.Just because a person is in a position of power,it doesn't mean they get to do whatever they want or think is right to them.Donald Trump for instance thinks that just because he is President that it give him the right to do as he pleases and doesnt care who he hurts in the process.Just like the problem with the border wall and separating young children from their parents just because he think she is doing the right thing.Donald Trump deserves to be impeached and I am all for it ."
3996,"Im more in tuned with what is going on in the country, because i have time to sit down and watch tv more often to find things out and going to library"
2835,[Yes] I have a much greater knowledge of the political side of life and how each and every vote can right or wrong can affect the outcome of our lives making my vote that more important.
680,Before I was incarcerated I paid little to no attention to the news and had no idea what was going on politically or world wide
199,My political views changed since being incarcerated because I have grown a lot since I been incarcerated. Being incarcerated taught me how think first
7139,Yes cause it seems our opinions do not get through to big whigs.
1097,"I was a hustler I had to go and make a way out of no way. Racial profiling was big in the prime of my era, but after serving 30+ yes. Iam convinced that America has changed because I have changed."
811,I'm a sex offender and feel I've been discriminated against and feel my state has over look a lot
7527,[Yes] I got older and realize there needs to be a change
3147,Want to help make change
522,I used to be strictly Democratic. But the Republican party helps the economy.
