,Survey_ID,p_change,r_effect,black,white,native,asian,hawaiian,other_race,unsure_race,latinx,age,gender
181,182,well before prison i never political i just to family an took on their political however i research myself now an come to my own upon what my research,i personally dont feel my racial identity is affected but unsure because their may be data to suggest otherwise that i have not,True,False,False,False,False,False,False,False,46-55,Man
4456,4457,because i watch more so more to whats going on before i was too busy with life,my on politics go towards the people whereas government to only care about the wealth and fighting amongst themselves instead of finding a common middle and know they can their because the average person doesnt listen to both sides to make their own informed,True,False,True,False,False,True,False,False,36-45,Man
1145,1146,yes it absolutely for the best due to me a more and mature outlook in life now so they keep me from being easily persuaded and since it all the unnecessary hate towards our great president trump who done a superb job as our president so come got as one nation and country and support and respect president trump,honestly race doesnt matter to me but i do understand as being a 32 year old man that surely racial a lot in this world but i never will let this affect and persuade or decide my unbiased political view,True,False,False,False,False,False,False,False,26-35,Man
8254,8255,yes prior to prison i was relatively in with the since confinement i to the concept of,a great deal being in my mid60s i grew up during the era as far as concerned nothing,True,False,False,False,False,False,False,False,56-65,Man
4595,4596,it given me a clear view of what is,color nothing to do with what the world need of coming together,True,False,False,False,False,False,False,False,46-55,Man
7175,7176,yes i really didnt understand or much until i was i want to be more involved with this now when,i really dont understand what race to do with voting or any political format,True,False,False,False,False,False,False,True,18-25,Man
4820,4821,i have had more time to talk about politics and have learned a lot about different and what is actually going on in our country to help me change my,some do not want to hear my,True,False,False,False,False,False,False,False,26-35,Man
2768,2769,yes now close attention to the government,not at all it dont because cant nothing affect the way we was into this world,True,False,True,False,False,False,False,False,26-35,Man
1419,1420,to see for what they really are and who those in political are on my behalf,not the type of man who the next person opinion to influence leet alone my own decision making,True,False,False,False,False,False,False,False,26-35,Man
1050,1051,yes,could be a positive influence,True,False,False,False,False,False,False,False,56-65,Man
1708,1709,to be honest before prison i never thought about political or how it effects my daily life,been in state prison since june of 1990 on a life sentence for seven of crack cocaine in which witness a lot of white in prison received clemency from the governor of but here i still remains after making it the clemency board on five different times to only have the governor of take no action on my clemency,True,False,False,False,False,False,False,False,46-55,Man
5752,5753,um,um dont exactly know what you mean,True,True,False,False,False,False,False,False,26-35,Man
470,471,they have because more aware of the importance of politics and how they effect everything and everyone thus making me want to have a say in them because they have an direct effect on the quality of life thats being lived in,me personally humble and intelligent enough not to let blind my reason but the majority of black men are going to make based off their racial background due to the experience and treatment received due to i have worked on myself in this area thus more susceptible to logic and reason no matter what political party is their argument,True,False,False,False,False,False,False,False,26-35,Man
2703,2704,yes i was a democrat i recently read the 1994 violent act in which bill and joe that my view that crime bill really hurt the,somewhat i wouldnt want political who was bias toward a specific race,True,False,False,False,False,False,False,False,46-55,Man
5428,5429,learning more about it it i pay attention to who to really help the and the a democrat and i realize some do want to help the poor they just have a different approach,it doesnt cause we are all from family and in to keep us we cant see our family who is under 18 and theres no valid excuse for that,True,False,False,False,False,False,False,False,26-35,Man
7589,7590,yes i believe one vote can change a great deal,a great deal political arena never been fair to black people we need to vote as a block on as many as possible,True,False,False,False,False,False,False,False,46-55,Man
7888,7889,no always and hopefully by the grace of god i may be able to vote again,somewhat although people of color have advanced as far as discrimination we still have a long way to go,True,False,False,False,False,False,False,False,46-55,Woman
199,200,because when news comes on their either talking about a mass shooting with assault or some police just shot another who was unarmed,being an in our climate today is more of a struggle than it ever been the drug are to high a lot of our people are already as drug dealer gang or thug just because of our culture,True,False,False,False,False,False,False,False,46-55,Man
3839,3840,since been i find politics more interesting,based on,True,False,False,False,False,False,False,False,26-35,Man
3157,3158,this time around it made me view some differently,are being unfairly in the judicial,True,False,False,False,False,False,False,False,56-65,Man
291,292,i will never vote for a party again but for with a cause,i am and have found out easy it is to be given over eighty for a sex crime with no physical evidence,True,False,False,False,False,False,False,False,66+,Man
1444,1445,lost everything financially being this time,i can not see the question or statement,True,False,False,False,False,False,False,False,26-35,Man
